epoch,step,loss
0,0,1.389855
0,50,1.524563
0,100,0.962537
0,150,1.089704
0,200,1.05883
0,250,0.930232
0,300,0.668665
0,350,0.966239
0,400,0.582725
0,450,0.808617
0,500,0.941637
0,550,0.765206
0,600,0.672803
0,650,0.998846
0,700,0.903479
0,750,1.040666
0,800,0.652958
0,850,0.681087
0,900,0.627559
0,950,0.848058
1,0,0.709223
1,50,0.674014
1,100,0.592634
1,150,0.750747
1,200,0.509174
1,250,0.641281
1,300,0.779382
1,350,0.634737
1,400,0.678625
1,450,0.597329
1,500,0.625666
1,550,0.606185
1,600,0.625373
1,650,0.65575
1,700,0.878879
1,750,0.619602
1,800,0.515636
1,850,0.514765
1,900,0.289157
1,950,0.554122
2,0,0.696989
2,50,0.507569
2,100,0.665548
2,150,0.484327
2,200,0.543556
2,250,0.534833
2,300,0.598337
2,350,0.449839
2,400,0.507973
2,450,0.573977
2,500,0.480616
2,550,0.622164
2,600,0.460084
2,650,0.512564
2,700,0.317499
2,750,0.277318
2,800,0.35396
2,850,0.474336
2,900,0.410247
2,950,0.634709
