Model,PromptType,SAS_Entropy,FIC,TIC,PIC,INTLK,ALM,ACT,SEN,LOGIC,SEQ,RPT,AlignmentScore
Deepseek,BAB,3.8626,18,14,27,67,67,49,91,69,46,83,0.5818836850231601
Deepseek,CARE,3.8787,17,9,27,54,49,48,92,81,42,81,0.5653113741636646
Deepseek,RISE,4.154,13,7,21,72,52,39,89,34,44,56,0.28193515182707174
Deepseek,RTF,4.377,15,8,25,57,48,37,86,48,34,59,0.05239320638188405
Deepseek,TAG,4.1695,11,4,17,49,57,43,91,34,35,42,0.2659804426145135
GPT,BAB,4.4208,13,6,20,51,45,42,79,39,29,55,0.00730828615543011
GPT,CARE,4.271,9,4,18,56,47,35,81,40,39,47,0.16150283067421534
GPT,RISE,4.1796,12,4,19,69,51,39,85,38,32,44,0.25558414822439557
GPT,RTF,4.4279,14,4,20,49,46,38,76,43,32,54,0.0
GPT,TAG,4.3479,13,5,20,55,55,40,77,47,36,55,0.0823468862583634
Grok,BAB,3.6669,20,14,35,64,83,47,90,75,38,89,0.7833247555326813
Grok,CARE,3.4564,17,11,35,55,93,44,93,72,72,79,1.0
Grok,RISE,3.9155,16,8,33,48,86,50,87,37,32,81,0.5274318064848171
Grok,RTF,3.9422,20,10,31,61,94,40,92,52,37,60,0.49994853319608845
Grok,TAG,3.8995,15,8,33,55,78,43,86,68,46,75,0.5439011837364898
